                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.32927,                0.27793,                0.93274,                0.96677,                0.92157,                0.97099,                0.89442,                0.43866,                 0.4147,                0.89684,              0.0004754,              0.0004754,              0.0004754
                     79,                0.32228,                0.27633,                0.93092,                0.95983,                0.93705,                0.97509,                0.90733,                0.39778,                0.38733,                0.86613,              0.0004556,              0.0004556,              0.0004556
                     80,                0.31588,                0.28946,                0.94724,                 0.9503,                 0.9374,                0.97318,                0.89907,                0.40599,                0.40426,                0.87138,              0.0004358,              0.0004358,              0.0004358
                     81,                0.32667,                0.27553,                0.94742,                0.95951,                 0.9293,                0.97185,                0.89919,                 0.4119,                 0.4074,                0.87435,               0.000416,               0.000416,               0.000416
                     82,                0.31182,                0.27852,                0.92728,                0.95041,                0.93953,                0.97301,                0.90324,                0.40499,                0.40044,                0.86765,              0.0003962,              0.0003962,              0.0003962
                     83,                0.30491,                0.26926,                0.92559,                0.94111,                 0.9401,                0.96824,                0.90534,                0.39421,                0.39864,                0.86265,              0.0003764,              0.0003764,              0.0003764
                     84,                0.30295,                0.26185,                0.92838,                0.93907,                0.90666,                0.96143,                0.90839,                0.40684,                0.42299,                0.87119,              0.0003566,              0.0003566,              0.0003566
                     85,                0.28917,                0.24781,                0.91407,                0.96763,                0.87911,                0.96534,                0.91406,                 0.3884,                0.41937,                0.85382,              0.0003368,              0.0003368,              0.0003368
                     86,                0.29594,                0.25448,                0.93446,                0.93834,                0.91176,                0.97358,                0.90617,                0.39539,                0.42287,                0.86351,               0.000317,               0.000317,               0.000317
                     87,                0.29041,                0.24891,                0.93293,                0.96864,                0.90859,                0.97659,                0.89089,                0.43682,                0.43872,                0.90104,              0.0002972,              0.0002972,              0.0002972
                     88,                0.30903,                  0.262,                0.94012,                0.95704,                0.91176,                0.97202,                 0.8957,                0.41395,                0.42959,                0.88328,              0.0002774,              0.0002774,              0.0002774
                     89,                0.28306,                0.25123,                0.92209,                0.92292,                0.95098,                0.96974,                0.90459,                0.38646,                0.40364,                0.86127,              0.0002576,              0.0002576,              0.0002576
                     90,                0.28488,                0.24989,                0.92539,                0.95944,                0.92774,                0.97068,                0.90427,                0.39068,                0.39298,                0.86213,              0.0002378,              0.0002378,              0.0002378
                     91,                0.20837,                0.26646,                0.88261,                 0.9235,                0.95098,                0.97013,                 0.9018,                0.39944,                0.39345,                0.87573,               0.000218,               0.000218,               0.000218
                     92,                0.19118,                0.19474,                 0.8782,                0.92887,                0.93137,                0.95003,                 0.9022,                0.40046,                0.39596,                0.89342,              0.0001982,              0.0001982,              0.0001982
                     93,                0.19215,                0.18511,                0.87039,                0.93628,                0.90196,                0.94049,                0.88142,                0.40674,                0.43306,                0.91058,              0.0001784,              0.0001784,              0.0001784
                     94,                  0.194,                0.18425,                0.85894,                 0.9469,                0.85294,                0.92962,                0.87704,                0.42199,                0.44635,                0.92385,              0.0001586,              0.0001586,              0.0001586
                     95,                0.19455,                0.18205,                0.86032,                0.97311,                0.86275,                0.94593,                0.87929,                0.40493,                0.42391,                 0.9116,              0.0001388,              0.0001388,              0.0001388
                     96,                0.18302,                0.16874,                0.84762,                0.94389,                0.90196,                0.95877,                  0.904,                0.39045,                0.39553,                0.90107,               0.000119,               0.000119,               0.000119
                     97,                0.17608,                0.16495,                0.87403,                0.93184,                0.93818,                0.96368,                0.90552,                0.41382,                0.38956,                0.91572,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.18522,                0.16441,                0.87015,                0.94106,                0.93918,                0.96542,                0.90396,                0.41616,                0.37086,                0.90178,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.19303,                 0.1666,                0.88949,                0.93882,                0.94118,                0.96611,                0.91346,                0.39426,                0.35481,                0.87008,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.17385,                0.15275,                 0.8544,                0.93834,                0.94118,                0.97578,                0.91281,                0.39522,                0.35744,                0.87126,               3.98e-05,               3.98e-05,               3.98e-05
